Comarca,Any,Preu mitjà lloguer,RFDB (milers d'euros),RFDB per habitant (milers d'euros),Índex Catalunya=100 per habitant,RFDB per habitant - Mensual
Pla d'Urgell,2012,350.7367210412147,482246,13100.0,82.5,1091.67
Pla de l'Estany,2012,439.6295904051173,462357,14800.0,93.2,1233.33
Pallars Sobirà,2012,366.2433130434784,98571,13500.0,85.2,1125.0
Pallars Jussà,2012,311.6567593220338,187899,13700.0,86.3,1141.67
Noguera,2012,320.2675644257704,498338,12600.0,79.3,1050.0
Segarra,2012,339.0916344947737,315558,13700.0,86.4,1141.67
Ribera d'Ebre,2012,306.65826834532373,320892,13900.0,87.6,1158.33
Vallès Oriental,2013,509.5867642434733,6177834,15600.0,98.4,1300.0
Vallès Occidental,2013,531.1886381664176,14357830,16100.000000000002,101.5,1341.67
Terra Alta,2013,251.7238613636364,154713,12700.0,80.4,1058.33
Conca de Barberà,2013,328.15438349056615,291888,14100.0,89.2,1175.0
Cerdanya,2013,455.9775634615385,243806,13400.0,84.5,1116.67
Berguedà,2013,319.16753090909066,622001,15500.0,98.0,1291.67
Barcelonès,2013,647.39793623947,39653571,18000.0,113.5,1500.0
Baix Penedès,2013,415.3517543933056,1312691,13100.0,83.1,1091.67
Baix Llobregat,2013,591.4098735696161,13152787,16500.0,104.0,1375.0
Baix Ebre,2013,320.01062493297576,970873,12100.0,76.6,1008.33
Bages,2013,355.9149051109237,2628393,15000.0,95.1,1250.0
Anoia,2013,376.5802965186075,1643875,14000.0,88.2,1166.67
Alta Ribagorça,2013,337.68251249999986,58818,14700.0,93.2,1225.0
Alt Urgell,2013,361.6771031518626,260979,12500.0,79.0,1041.67
Alt Penedès,2013,414.04186320371423,1612187,15300.0,96.4,1275.0
Alt Empordà,2013,433.3152964992392,1676066,12200.0,77.0,1016.67
Alt Camp,2013,365.0504127659575,621401,13900.0,88.1,1158.33
Urgell,2013,311.7919528344672,476800,13100.0,82.8,1091.67
Garraf,2013,590.3394739767178,2201196,15300.0,96.6,1275.0
Garrigues,2013,290.51011229050283,258425,13100.0,82.7,1091.67
Baix Empordà,2013,453.2233106305369,1695133,12900.0,81.6,1075.0
Gironès,2013,460.72286337184414,2666934,14700.0,92.9,1225.0
Garrotxa,2013,355.65468405063285,829600,15000.0,95.1,1250.0
Tarragonès,2013,433.7676547454432,3525307,14200.0,89.4,1183.33
Solsonès,2013,297.08356813186793,183281,13600.0,85.7,1133.33
Selva,2013,422.5844793090638,2119760,12600.0,79.4,1050.0
Segrià,2013,375.2965914790999,2896785,14100.0,88.9,1175.0
Segarra,2013,312.3944968085106,305322,13400.0,84.6,1116.67
Ribera d'Ebre,2013,310.2936213114753,320450,14100.0,88.9,1175.0
Priorat,2013,350.7171641791043,123873,12900.0,81.5,1075.0
Ripollès,2013,347.8323645367411,406185,15800.0,99.6,1316.67
Pla de l'Estany,2013,409.19391708253374,461829,14700.0,93.1,1225.0
Pallars Sobirà,2013,335.3844758620689,97300,13500.0,85.3,1125.0
Pallars Jussà,2013,307.6637034482759,187765,14100.0,88.9,1175.0
Osona,2013,407.6057352553544,2332889,15300.0,96.5,1275.0
Noguera,2013,298.39793359374994,501496,12800.0,80.8,1066.67
Montsià,2013,292.01757030411443,781083,11200.0,70.6,933.33
Maresme,2013,552.8224447415155,6754271,15600.0,98.7,1300.0
Pla d'Urgell,2013,314.4125165975101,483862,13200.0,83.3,1100.0
Garrigues,2014,309.4525,251234,12900.0,80.8,1075.0
Baix Penedès,2014,404.5753,1302179,13100.0,82.0,1091.67
Garraf,2014,587.4356,2241016,15600.0,97.5,1300.0
Conca de Barberà,2014,332.8395,291763,14300.0,89.0,1191.67
Cerdanya,2014,471.8116,238574,13300.0,83.2,1108.33
Berguedà,2014,305.201,616224,15600.0,97.4,1300.0
Barcelonès,2014,649.082,39908544,18200.0,113.5,1516.67
Baix Llobregat,2014,592.6884,13380745,16800.0,104.7,1400.0
Alt Camp,2014,374.3318,629440,14200.0,88.7,1183.33
Baix Ebre,2014,315.4418,960487,12100.0,75.7,1008.33
Bages,2014,348.278,2641245,15200.0,95.1,1266.67
Anoia,2014,361.5316,1657787,14100.0,88.3,1175.0
Alta Ribagorça,2014,299.5238,56670,14500.0,90.3,1208.33
Alt Urgell,2014,351.9853,258351,12500.0,78.1,1041.67
Alt Penedès,2014,417.016,1615462,15300.0,95.7,1275.0
Alt Empordà,2014,434.0323,1673140,12200.0,76.5,1016.67
Garrotxa,2014,357.5302,833483,15100.0,94.6,1258.33
Baix Empordà,2014,429.2316,1692192,13000.0,81.1,1083.33
Gironès,2014,454.8914,2693887,14900.0,93.0,1241.67
Priorat,2014,359.1212,123252,13000.0,81.1,1083.33
Moianès,2014,381.8667,193629,14900.0,93.3,1241.67
Maresme,2014,549.2821,6814768,15700.0,98.4,1308.33
Vallès Occidental,2014,526.5147,14584192,16300.0,101.9,1358.33
Urgell,2014,306.3997,474595,13100.0,82.2,1091.67
Terra Alta,2014,222.6472,149666,12600.0,78.8,1050.0
Tarragonès,2014,426.7153,3551238,14200.0,89.0,1183.33
Solsonès,2014,290.5116,177634,13200.0,82.6,1100.0
Selva,2014,421.1678,2146807,12900.0,80.3,1075.0
Segrià,2014,369.7719,2893713,14100.0,88.1,1175.0
Segarra,2014,300.2841,308077,13700.0,85.4,1141.67
Vallès Oriental,2014,500.0286,6261492,15800.0,98.5,1316.67
Ribera d'Ebre,2014,293.4148,317678,14100.0,88.2,1175.0
Ripollès,2014,335.9494,401268,15800.0,98.6,1316.67
Noguera,2014,296.8701,495286,12800.0,79.7,1066.67
Osona,2014,399.9214,2348068,15400.0,96.3,1283.33
Pallars Jussà,2014,267.0632,183257,13800.0,86.1,1150.0
Montsià,2014,259.6006,768896,11200.0,69.9,933.33
Pla de l'Estany,2014,404.7688,466379,14900.0,93.1,1241.67
Pla d'Urgell,2014,316.8474,478863,13100.0,81.7,1091.67
Pallars Sobirà,2014,315.1391,94739,13400.0,83.8,1116.67
Baix Penedès,2015,415.7248,1332487,13500.0,80.8,1125.0
Garraf,2015,603.1893,2365086,16400.0,98.7,1366.67
Conca de Barberà,2015,314.9582,289238,14200.0,85.6,1183.33
Cerdanya,2015,445.2585,234726,13200.0,79.4,1100.0
Berguedà,2015,311.823,623599,15900.0,95.7,1325.0
Garrigues,2015,309.7958,253954,13200.0,79.4,1100.0
Barcelonès,2015,691.5476,41591486,18900.0,113.5,1575.0
Baix Llobregat,2015,619.2399,14051971,17500.0,105.4,1458.33
Alta Ribagorça,2015,342.75,56543,14600.0,87.4,1216.67
Baix Ebre,2015,310.1987,968483,12300.0,74.1,1025.0
Bages,2015,350.9439,2750976,15900.0,95.4,1325.0
Anoia,2015,380.1878,1728525,14700.0,88.6,1225.0
Alt Urgell,2015,360.0612,260614,12700.0,76.4,1058.33
Alt Penedès,2015,422.534,1652123,15700.0,94.0,1308.33
Alt Empordà,2015,440.1105,1725321,12700.0,76.0,1058.33
Alt Camp,2015,376.6279,645998,14600.0,87.9,1216.67
Garrotxa,2015,360.1043,858851,15600.0,93.9,1300.0
Baix Empordà,2015,445.0764,1739026,13400.0,80.3,1116.67
Gironès,2015,468.1253,2831825,15600.0,93.8,1300.0
Priorat,2015,348.8026,124860,13300.0,79.9,1108.33
Moianès,2015,411.6355,201572,15400.0,92.8,1283.33
Vallès Occidental,2015,545.7987,15306067,17000.0,102.4,1416.67
Urgell,2015,298.8276,483915,13500.0,80.9,1125.0
Terra Alta,2015,247.49,148906,12700.0,76.6,1058.33
Tarragonès,2015,430.7248,3631752,14600.0,87.4,1216.67
Solsonès,2015,285.0538,181013,13500.0,81.1,1125.0
Selva,2015,418.3616,2215790,13400.0,80.3,1116.67
Segrià,2015,379.3103,2991566,14600.0,87.7,1216.67
Segarra,2015,308.3765,315808,14100.0,84.7,1175.0
Ripollès,2015,327.8564,403155,16000.0,96.4,1333.33
Maresme,2015,566.0426,7101452,16300.0,98.2,1358.33
Vallès Oriental,2015,512.8529,6600264,16600.0,99.6,1383.33
Pla d'Urgell,2015,325.0374,497190,13500.0,81.4,1125.0
Pla de l'Estany,2015,424.7677,481370,15400.0,92.3,1283.33
Pallars Sobirà,2015,307.1855,94735,13600.0,81.9,1133.33
Pallars Jussà,2015,254.4039,182980,13800.0,82.8,1150.0
Osona,2015,406.2534,2440236,15900.0,95.8,1325.0
Noguera,2015,293.3527,505733,13100.0,78.8,1091.67
Montsià,2015,270.1333,793729,11700.0,70.0,975.0
Ribera d'Ebre,2015,296.6255,317014,14300.0,85.6,1191.67
Berguedà,2016,316.0302495840266,624381,16000.0,94.4,1333.33
Cerdanya,2016,487.4208067940552,246857,13900.0,81.9,1158.33
Garrotxa,2016,373.5172010628875,886097,16100.000000000002,94.8,1341.67
Garraf,2016,647.1073619157977,2438877,16800.0,99.1,1400.0
Garrigues,2016,289.82,247103,13000.0,76.3,1083.33
Barcelonès,2016,751.5440345434241,42792694,19300.0,113.7,1608.33
Conca de Barberà,2016,328.0716049382716,297375,14800.0,87.0,1233.33
Baix Penedès,2016,435.1814346439957,1349153,13500.0,79.6,1125.0
Anoia,2016,395.68435492651065,1753569,14900.0,87.6,1241.67
Baix Empordà,2016,468.3507454289732,1790830,13700.0,80.8,1141.67
Baix Ebre,2016,328.35155214227973,995851,12800.0,75.2,1066.67
Bages,2016,366.4095819014893,2767326,16000.0,93.9,1333.33
Alta Ribagorça,2016,370.9981395348837,56475,14700.0,86.4,1225.0
Alt Urgell,2016,365.9813378684807,263664,13000.0,76.4,1083.33
Alt Penedès,2016,453.1879265658748,1689826,15900.0,93.8,1325.0
Alt Empordà,2016,450.894359974009,1799501,13200.0,77.6,1100.0
Gironès,2016,497.35615640968746,2931615,16000.0,94.5,1333.33
Baix Llobregat,2016,650.5917800802763,14347276,17800.0,104.9,1483.33
Alt Camp,2016,381.7902900763359,659496,15000.0,88.1,1250.0
Maresme,2016,596.1334502991261,7375248,16900.0,99.4,1408.33
Montsià,2016,289.01937869822484,799330,11800.0,69.2,983.33
Moianès,2016,432.3913857677903,201343,15300.0,90.2,1275.0
Vallès Oriental,2016,548.3931620111733,6655516,16600.0,97.9,1383.33
Vallès Occidental,2016,583.4331191265895,15746989,17400.0,102.5,1450.0
Urgell,2016,301.114896073903,483676,13500.0,79.4,1125.0
Terra Alta,2016,262.0,149268,12900.0,75.9,1075.0
Tarragonès,2016,443.2031783439491,3730066,14900.0,87.8,1241.67
Selva,2016,430.2867508794371,2263769,13700.0,80.4,1141.67
Segrià,2016,385.7287660910518,3038758,14900.0,87.5,1241.67
Segarra,2016,313.0634226190476,306745,13700.0,80.8,1141.67
Solsonès,2016,275.8178846153846,178423,13300.0,78.2,1108.33
Ribera d'Ebre,2016,308.3167407407407,316769,14400.0,84.8,1200.0
Ripollès,2016,336.9240821917808,411947,16500.0,97.2,1375.0
Osona,2016,420.1828800000002,2539509,16500.0,97.0,1375.0
Pallars Jussà,2016,289.7914285714286,177519,13500.0,79.6,1125.0
Pallars Sobirà,2016,319.2857142857143,93405,13500.0,79.7,1125.0
Noguera,2016,295.70490109890113,498208,13000.0,76.4,1083.33
Pla d'Urgell,2016,329.9561941747573,496365,13500.0,79.4,1125.0
Priorat,2016,351.1796590909091,125156,13500.0,79.3,1125.0
Pla de l'Estany,2016,437.2325518672199,497757,15800.0,93.1,1316.67
Baix Penedès,2017,462.6216257187664,1398918,13800.0,80.1,1150.0
Garrigues,2017,325.49446666666665,257308,13600.0,78.7,1133.33
Garraf,2017,711.5040167504185,2532020,17300.0,100.5,1441.67
Conca de Barberà,2017,347.194367816092,309763,15500.0,89.5,1291.67
Cerdanya,2017,507.8993176972281,257518,14500.0,84.1,1208.33
Berguedà,2017,330.01630792227206,647832,16600.0,96.3,1383.33
Barcelonès,2017,826.4591344338066,43513856,19500.0,112.9,1625.0
Baix Llobregat,2017,702.7329237036408,14502529,17900.0,103.7,1491.67
Alt Camp,2017,392.2907906295754,669330,15200.0,87.9,1266.67
Baix Ebre,2017,337.90902053712483,1030000,13300.0,77.1,1108.33
Bages,2017,392.1413885778276,2844538,16300.0,94.6,1358.33
Anoia,2017,433.267040431267,1814926,15300.0,88.5,1275.0
Alta Ribagorça,2017,353.80434782608694,58770,15400.0,89.0,1283.33
Alt Urgell,2017,370.4187630662021,273172,13500.0,78.3,1125.0
Alt Penedès,2017,495.7960456852792,1714730,16000.0,92.8,1333.33
Garrotxa,2017,405.3964036544851,924967,16700.0,96.8,1391.67
Alt Empordà,2017,468.0934467686544,1907086,13900.0,80.8,1158.33
Baix Empordà,2017,490.7474333333333,1878693,14300.0,83.1,1191.67
Gironès,2017,534.1902897933102,3035157,16400.0,95.1,1366.67
Urgell,2017,314.7171308016878,506939,14100.0,81.7,1175.0
Moianès,2017,453.2151929824561,215456,16200.0,94.1,1350.0
Vallès Oriental,2017,590.8888225386614,6820438,16900.0,97.9,1408.33
Vallès Occidental,2017,640.0715421776299,16065952,17600.0,102.1,1466.67
Terra Alta,2017,306.6,155782,13600.0,78.7,1133.33
Tarragonès,2017,470.0800756564309,3760914,14900.0,86.4,1241.67
Solsonès,2017,329.84814977973565,190355,14100.0,81.7,1175.0
Selva,2017,455.8641880898143,2343819,14100.0,81.8,1175.0
Segrià,2017,401.81659743433113,3127829,15300.0,88.6,1275.0
Segarra,2017,309.01626984126983,315244,14100.0,81.5,1175.0
Ripollès,2017,363.25264102564097,428368,17200.0,99.7,1433.33
Maresme,2017,645.4007025838371,7598082,17300.0,100.0,1441.67
Priorat,2017,368.8584070796461,129394,14000.0,81.0,1166.67
Pla d'Urgell,2017,354.5293992248062,517814,14000.0,81.3,1166.67
Pla de l'Estany,2017,474.94650000000007,515500,16300.0,94.2,1358.33
Pallars Sobirà,2017,321.3813821138212,101126,14700.0,84.9,1225.0
Pallars Jussà,2017,304.0196153846154,185836,14300.0,82.8,1191.67
Osona,2017,450.7802217808671,2651338,17000.0,98.6,1416.67
Noguera,2017,317.86927855711417,514357,13400.0,77.9,1116.67
Montsià,2017,291.605845959596,827341,12200.0,70.5,1016.67
Ribera d'Ebre,2017,296.29411764705884,319059,14600.0,84.8,1216.67
Barcelonès,2018,876.6369888301899,44173954,19600.0,112.2,1633.33
Berguedà,2018,344.3909915014164,660588,16900.0,96.5,1408.33
Garrigues,2018,334.52469613259666,262172,13900.0,79.4,1158.33
Conca de Barberà,2018,368.3236286919831,313805,15700.0,90.0,1308.33
Garraf,2018,750.7249225526642,2611108,17700.0,101.5,1475.0
Baix Penedès,2018,500.6767988929889,1475790,14300.0,81.7,1191.67
Cerdanya,2018,510.9765697674418,274017,15300.0,87.6,1275.0
Baix Llobregat,2018,743.1465514905151,14800050,18100.0,103.8,1508.33
Alta Ribagorça,2018,360.9665384615385,57457,15100.0,86.1,1258.33
Baix Ebre,2018,343.0521584302326,1068042,13800.0,79.1,1150.0
Bages,2018,427.2974896665746,2925665,16600.0,95.2,1383.33
Anoia,2018,464.2935501066101,1864610,15500.0,88.9,1291.67
Alt Urgell,2018,380.5187406015037,276807,13700.0,78.4,1141.67
Alt Penedès,2018,512.0672920792077,1765260,16300.0,93.4,1358.33
Alt Empordà,2018,483.583262607626,1979795,14400.0,82.4,1200.0
Alt Camp,2018,406.1088200589971,688301,15500.0,88.9,1291.67
Garrotxa,2018,425.0291907514451,942198,16800.0,96.2,1400.0
Baix Empordà,2018,525.0260584588133,1928795,14600.0,83.7,1216.67
Gironès,2018,577.0115710679614,3078923,16400.0,94.0,1366.67
Maresme,2018,693.5333448450987,7827081,17600.0,100.7,1466.67
Moianès,2018,460.6255298013245,224601,16800.0,95.8,1400.0
Vallès Occidental,2018,686.2962644967979,16295712,17700.0,101.3,1475.0
Urgell,2018,336.8869629629629,515950,14200.0,81.4,1183.33
Terra Alta,2018,301.4223404255319,157682,13900.0,79.3,1158.33
Tarragonès,2018,504.0866097738878,3881559,15200.0,86.9,1266.67
Solsonès,2018,321.3581962025317,201741,14900.0,85.0,1241.67
Vallès Oriental,2018,630.2055745620083,7002952,17200.0,98.4,1433.33
Segrià,2018,423.0202622321712,3207762,15600.0,89.3,1300.0
Segarra,2018,321.0762209302326,323487,14400.0,82.1,1200.0
Ripollès,2018,386.7086301369863,422501,17000.0,97.0,1416.67
Selva,2018,488.3268055130167,2439236,14600.0,83.3,1216.67
Priorat,2018,375.98333333333335,132115,14400.0,82.1,1200.0
Pla d'Urgell,2018,349.87911711711706,528576,14300.0,81.7,1191.67
Pla de l'Estany,2018,510.5266924564798,526598,16500.0,94.3,1375.0
Pallars Sobirà,2018,330.8271739130435,103587,15000.0,85.9,1250.0
Pallars Jussà,2018,315.31728205128206,185794,14400.0,82.2,1200.0
Osona,2018,478.8977266797132,2685229,17000.0,97.4,1416.67
Noguera,2018,330.7748118811881,522148,13700.0,78.1,1141.67
Montsià,2018,310.3033973589435,869417,12800.0,73.0,1066.67
Ribera d'Ebre,2018,308.9931891891892,319564,14700.0,84.3,1225.0
Baix Penedès,2019,538.4803484640073,1582558,15000.0,82.0,1250.0
Barcelonès,2019,923.0579996382676,46642944,20500.0,112.2,1708.33
Berguedà,2019,376.0133213751869,681895,17200.0,94.5,1433.33
Garrigues,2019,316.0534523809524,271033,14300.0,78.5,1191.67
Conca de Barberà,2019,378.9550446428571,327068,16500.0,90.4,1375.0
Garraf,2019,779.1402583358366,2769436,18600.0,102.0,1550.0
Cerdanya,2019,534.1183198380567,286947,15700.0,86.3,1308.33
Baix Llobregat,2019,782.8118634214404,15572754,18900.0,103.7,1575.0
Alt Camp,2019,433.0835399449035,720050,16100.000000000002,88.4,1341.67
Baix Ebre,2019,371.0372997032641,1121307,14500.0,79.3,1208.33
Bages,2019,459.6585617046465,3091028,17400.0,95.2,1450.0
Anoia,2019,484.9741836734696,1963393,16100.000000000002,88.3,1341.67
Alta Ribagorça,2019,363.2775609756098,61519,16000.0,87.9,1333.33
Alt Urgell,2019,398.1815415019762,293861,14600.0,80.2,1216.67
Alt Penedès,2019,554.9134715284715,1837790,16900.0,92.4,1408.33
Alt Empordà,2019,501.3960550161814,2033739,14700.0,80.4,1225.0
Garrotxa,2019,469.3328785046729,1000972,17600.0,96.3,1466.67
Baix Empordà,2019,564.970447496677,2036305,15300.0,84.0,1275.0
Gironès,2019,610.1904426925435,3350978,17600.0,96.7,1466.67
Ribera d'Ebre,2019,321.0168152866242,328059,15200.0,83.2,1266.67
Moianès,2019,504.7926829268293,235159,17200.0,94.5,1433.33
Vallès Oriental,2019,664.8606680942181,7382905,18000.0,98.5,1500.0
Vallès Occidental,2019,729.1068016672891,17263226,18600.0,101.8,1550.0
Urgell,2019,360.4101803607214,544760,14800.0,81.4,1233.33
Terra Alta,2019,322.13360655737705,166211,14700.0,80.6,1225.0
Tarragonès,2019,523.6580714285716,4113441,15800.0,86.8,1316.67
Maresme,2019,732.880076683938,8289182,18400.0,101.0,1533.33
Selva,2019,514.9916532007456,2553827,15000.0,82.5,1250.0
Segrià,2019,448.2626882409486,3324871,16000.0,87.9,1333.33
Segarra,2019,345.5404347826088,336134,14800.0,81.1,1233.33
Solsonès,2019,345.4732848837209,209235,15300.0,83.8,1275.0
Priorat,2019,389.1878301886793,137622,15000.0,82.4,1250.0
Pla d'Urgell,2019,364.7824571428572,556872,15000.0,82.2,1250.0
Pla de l'Estany,2019,544.7944033613445,549381,17000.0,93.4,1416.67
Pallars Sobirà,2019,350.55610169491524,107261,15500.0,85.2,1291.67
Pallars Jussà,2019,331.1773214285714,195842,15100.0,82.7,1258.33
Osona,2019,511.8409744094486,2832413,17700.0,96.9,1475.0
Noguera,2019,335.8417102966841,550361,14300.0,78.6,1191.67
Montsià,2019,330.5322573609597,906728,13200.0,72.3,1100.0
Ripollès,2019,383.688800856531,440048,17600.0,96.5,1466.67
Barcelonès,2020,912.920689297999,44350125,19400.0,110.4,1616.67
Berguedà,2020,381.92405629139074,667545,16700.0,95.3,1391.67
Cerdanya,2020,574.861622276029,282491,15100.0,85.8,1258.33
Garrotxa,2020,476.5590251256282,972592,16800.0,95.9,1400.0
Garraf,2020,804.9946151012895,2723506,18000.0,102.6,1500.0
Garrigues,2020,355.6428082191781,267865,14100.0,80.2,1175.0
Conca de Barberà,2020,396.1182828282828,322846,16200.0,92.4,1350.0
Baix Penedès,2020,545.1789311805189,1605507,14800.0,84.2,1233.33
Alt Empordà,2020,519.4935678965387,1953140,14000.0,79.5,1166.67
Baix Empordà,2020,575.3836488630353,1983315,14700.0,83.9,1225.0
Baix Ebre,2020,369.813209013209,1103258,14100.0,80.1,1175.0
Bages,2020,468.32908734053007,2997757,16700.0,95.2,1391.67
Anoia,2020,498.54077106993424,1929153,15600.0,88.8,1300.0
Alta Ribagorça,2020,357.1789189189189,57539,14700.0,83.7,1225.0
Alt Urgell,2020,411.6605594405594,276982,13800.0,78.4,1150.0
Alt Penedès,2020,574.1433353922172,1829468,16600.0,94.6,1383.33
Gironès,2020,619.8024901643139,3209307,16700.0,95.4,1391.67
Baix Llobregat,2020,808.231983746407,15125751,18300.0,104.0,1525.0
Maresme,2020,748.5430511639488,8115522,17900.0,101.8,1491.67
Ribera d'Ebre,2020,323.262311827957,328489,15200.0,86.5,1266.67
Montsià,2020,337.2544072164948,897303,12900.0,73.7,1075.0
Vallès Oriental,2020,676.7154693486588,7307872,17600.0,100.4,1466.67
Vallès Occidental,2020,743.9020917923439,16961318,18100.0,103.1,1508.33
Urgell,2020,365.32701754385965,538489,14500.0,82.7,1208.33
Terra Alta,2020,267.8939393939394,157751,14000.0,79.6,1166.67
Tarragonès,2020,540.8818414833667,3978875,15100.0,86.1,1258.33
Solsonès,2020,378.4973913043478,202723,14700.0,83.6,1225.0
Selva,2020,524.0166568591393,2549137,14800.0,84.6,1233.33
Segrià,2020,466.96735271317806,3282043,15700.0,89.6,1308.33
Segarra,2020,343.861724137931,336160,14700.0,83.5,1225.0
Ripollès,2020,404.7420240963855,430215,17100.0,97.2,1425.0
Priorat,2020,364.0041836734694,134227,14600.0,83.3,1216.67
Pla d'Urgell,2020,392.1567346938777,568558,15200.0,86.6,1266.67
Pla de l'Estany,2020,579.6899805825243,554227,17000.0,97.0,1416.67
Pallars Sobirà,2020,378.0054676258993,102749,14700.0,83.6,1225.0
Pallars Jussà,2020,328.306303030303,192281,14800.0,84.1,1233.33
Osona,2020,522.7529853936586,2800744,17300.0,98.4,1441.67
Noguera,2020,360.18539863325736,534033,13800.0,78.8,1150.0
Moianès,2020,497.2570454545454,232748,16700.0,95.0,1391.67
Alt Camp,2020,440.00424040066775,699696,15500.0,88.5,1291.67
